a[4]: -996154; a[1028]: 47940; a[1944]: 948214
a[756]: -229939; a[890]: -89569; a[1298]: 319508
a[761]: -224986; a[836]: -145489; a[1343]: 370475
a[761]: -224986; a[894]: -87121; a[1286]: 312107
a[764]: -223666; a[922]: -57514; a[1261]: 281180
a[768]: -221717; a[1030]: 50632; a[1154]: 171085
a[769]: -221546; a[841]: -139712; a[1336]: 361258
a[773]: -212857; a[860]: -117488; a[1307]: 330345
a[775]: -211861; a[899]: -82083; a[1269]: 293944
a[777]: -211464; a[1061]: 89762; a[1092]: 121702
a[778]: -210707; a[1028]: 47940; a[1138]: 162767
a[783]: -207403; a[883]: -95536; a[1280]: 302939
a[784]: -207239; a[796]: -191940; a[1379]: 399179
a[785]: -207171; a[914]: -69279; a[1253]: 276450
a[796]: -191940; a[877]: -99730; a[1268]: 291670
a[802]: -188839; a[930]: -48561; a[1214]: 237400
a[803]: -188350; a[965]: -17212; a[1182]: 205562
a[804]: -186429; a[899]: -82083; a[1244]: 268512
a[804]: -186429; a[1001]: 23600; a[1139]: 162829
a[813]: -175302; a[863]: -115164; a[1266]: 290466
a[820]: -168651; a[867]: -111100; a[1258]: 279751
a[821]: -168292; a[982]: 799; a[1148]: 167493
a[822]: -165527; a[893]: -87160; a[1223]: 252687
a[826]: -157678; a[1026]: 46096; a[1080]: 111582
a[827]: -156488; a[882]: -96199; a[1223]: 252687
a[829]: -151704; a[870]: -109559; a[1237]: 261263
a[832]: -149029; a[882]: -96199; a[1217]: 245228
a[834]: -147637; a[1037]: 57270; a[1062]: 90367
a[841]: -139712; a[964]: -17518; a[1131]: 157230
a[842]: -139709; a[916]: -68464; a[1184]: 208173
a[845]: -139108; a[1004]: 27498; a[1081]: 111610
a[847]: -135078; a[998]: 22759; a[1082]: 112319
a[847]: -135078; a[1045]: 62036; a[1053]: 73042
a[849]: -130295; a[907]: -77878; a[1184]: 208173
a[912]: -71232; a[987]: 13962; a[1037]: 57270
a[922]: -57514; a[1001]: 23600; a[1012]: 33914
a[924]: -56748; a[962]: -18011; a[1054]: 74759
a[931]: -48071; a[938]: -41691; a[1061]: 89762
a[939]: -41418; a[942]: -38790; a[1058]: 80208
